journal_name,issn,field,n_articles,n_with_review_time,median_days_submission_to_acceptance,p25_review,p75_review,mean_days_submission_to_acceptance,median_days_acceptance_to_publication,median_days_total,data_sources,publisher,sjr_rank,sjr_score,primary_area,mega_domain
International Journal of Human Resource Management,0958-5192,Business & Management,100,93,454.0,319.0,600.0,483.40860215053766,12.0,475.5,crossref_assertion,Routledge,1171,2.231,"Business, Management and Accounting",Social Sciences
Entrepreneurship and Regional Development,1464-5114,Business & Management,100,98,414.0,335.5,532.75,457.0408163265306,13.0,440.0,crossref_assertion,Routledge,2873,1.353,"Business, Management and Accounting",Social Sciences
Economic Inquiry,0095-2583,Business & Management,100,100,410.5,302.75,562.25,434.07,43.5,446.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,3990,1.122,"Business, Management and Accounting",Social Sciences
British Journal of Management,1045-3172,Business & Management,100,100,408.5,318.75,552.5,436.98,29.5,431.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,1138,2.267,"Business, Management and Accounting",Social Sciences
Journal of Sustainable Finance and Investment,2043-0809,Business & Management,100,98,408.5,291.25,620.0,467.35714285714283,15.5,435.0,crossref_assertion,Taylor and Francis Ltd.,3852,1.146,"Business, Management and Accounting",Social Sciences
Journal of Media Business Studies,1652-2354,Business & Management,100,98,406.5,289.0,611.75,458.2857142857143,13.0,429.0,crossref_assertion,Taylor and Francis Ltd.,10549,0.552,"Business, Management and Accounting",Social Sciences
International Business Review,0969-5931,Business & Management,135,135,401.0,280.0,498.5,395.94074074074075,10.0,414.0,scrape_elsevier,Elsevier Ltd,1308,2.104,"Business, Management and Accounting",Social Sciences
Financial Accountability and Management,1468-0408,Business & Management,107,107,396.0,280.0,543.0,413.6261682242991,19.0,415.0,crossref_assertion,John Wiley &amp; Sons Inc.,6154,0.855,"Business, Management and Accounting",Social Sciences
OR Spectrum,0171-6468,Business & Management,100,100,382.5,273.0,470.25,392.76,33.0,421.5,crossref_assertion,Springer Verlag,5754,0.894,"Business, Management and Accounting",Social Sciences
Journal of Business Cycle Research,2509-7970,Business & Management,101,100,382.0,263.75,523.25,416.06,18.0,412.0,crossref_assertion,Springer International Publishing AG,12516,0.455,"Business, Management and Accounting",Social Sciences
Evaluation and Program Planning,0149-7189,Business & Management,100,88,368.5,248.0,605.25,436.39772727272725,,,pubmed,Elsevier Ltd,10504,0.554,"Business, Management and Accounting",Social Sciences
Venture Capital,1464-5343,Business & Management,100,98,366.5,203.75,499.75,381.0816326530612,15.0,387.0,crossref_assertion,Routledge,6290,0.843,"Business, Management and Accounting",Social Sciences
Innovation: Organization and Management,1447-9338,Business & Management,100,100,366.0,273.25,496.0,383.31,16.5,386.5,crossref_assertion,Taylor and Francis Ltd.,2493,1.467,"Business, Management and Accounting",Social Sciences
Marketing Letters,1573-059X,Business & Management,25,24,365.5,211.5,425.75,337.875,26.0,414.0,crossref_assertion,Springer New York,1388,2.036,"Business, Management and Accounting",Social Sciences
Journal of International Business Policy,2522-0691,Business & Management,100,100,363.5,187.25,498.0,346.79,65.0,436.0,crossref_assertion,Palgrave Macmillan Ltd.,2385,1.5,"Business, Management and Accounting",Social Sciences
Journal of Management Analytics,2327-0039,Business & Management,100,97,361.0,214.0,533.0,397.6185567010309,38.0,418.0,crossref_assertion,Taylor and Francis Ltd.,5721,0.897,"Business, Management and Accounting",Social Sciences
"International Review of Retail, Distribution and Consumer Research",0959-3969,Business & Management,105,104,360.0,255.5,498.75,399.0673076923077,12.0,374.0,crossref_assertion,Routledge,7618,0.735,"Business, Management and Accounting",Social Sciences
Asia Pacific Journal of Management,0217-4561,Business & Management,73,70,359.0,288.5,444.0,384.01428571428573,49.0,418.0,crossref_assertion,Springer New York,2481,1.47,"Business, Management and Accounting",Social Sciences
Creativity and Innovation Management,0963-1690,Business & Management,100,100,359.0,278.0,464.5,391.49,23.0,380.5,crossref_assertion,John Wiley and Sons Ltd,3755,1.163,"Business, Management and Accounting",Social Sciences
Journal of Business Logistics,2158-1592,Business & Management,100,98,356.5,228.5,484.5,367.46938775510205,35.0,414.0,crossref_assertion,John Wiley &amp; Sons Inc.,825,2.768,"Business, Management and Accounting",Social Sciences
Scandinavian Journal of Hospitality and Tourism,1502-2269,Business & Management,100,100,342.5,240.25,433.0,343.48,14.0,358.5,crossref_assertion,Routledge,4744,1.01,"Business, Management and Accounting",Social Sciences
Canadian Journal of Administrative Sciences,1936-4490,Business & Management,102,102,339.0,233.5,469.0,359.77450980392155,17.5,368.0,crossref_assertion,Wiley-Blackwell,12419,0.459,"Business, Management and Accounting",Social Sciences
Eurasian Business Review,1309-4297,Business & Management,100,100,336.0,245.5,440.0,352.33,38.0,384.0,crossref_assertion,Springer International Publishing AG,4031,1.116,"Business, Management and Accounting",Social Sciences
Decision Sciences,0011-7315,Business & Management,100,98,334.0,234.0,422.0,346.2959183673469,47.5,380.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,2087,1.62,"Business, Management and Accounting",Social Sciences
Business and Society Review,0045-3609,Business & Management,106,106,333.5,225.5,454.0,348.3301886792453,33.0,377.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,11858,0.486,"Business, Management and Accounting",Social Sciences
Schmalenbach Journal of Business Research,2366-6153,Business & Management,104,104,333.5,235.75,492.75,380.4423076923077,35.0,367.0,crossref_assertion,Springer Gabler,11091,0.524,"Business, Management and Accounting",Social Sciences
International Journal of Hospitality and Tourism Administration,1525-6480,Business & Management,103,103,330.0,243.5,410.5,350.8543689320388,11.0,342.0,crossref_assertion,Routledge,6590,0.816,"Business, Management and Accounting",Social Sciences
Knowledge and Process Management,1099-1441,Business & Management,103,102,328.0,163.5,555.5,369.6764705882353,15.0,357.5,crossref_assertion,John Wiley and Sons Ltd,8755,0.656,"Business, Management and Accounting",Social Sciences
Supply Chain Forum,1624-6039,Business & Management,29,29,328.0,281.0,433.0,335.7931034482759,15.0,344.0,crossref_assertion,Taylor and Francis Ltd.,5258,0.951,"Business, Management and Accounting",Social Sciences
Small Business Economics,1573-0913,Business & Management,80,80,324.0,192.75,402.25,301.6375,30.0,352.5,crossref_assertion,Springer Netherlands,704,3.025,"Business, Management and Accounting",Social Sciences
Journal of Trust Research,2151-559X,Business & Management,82,82,321.5,225.0,469.0,360.5731707317073,38.0,362.0,crossref_assertion,Routledge,6320,0.84,"Business, Management and Accounting",Social Sciences
Quality Technology and Quantitative Management,1684-3703,Business & Management,100,100,321.5,253.5,395.5,346.36,24.0,351.5,crossref_assertion,Taylor and Francis Ltd.,4685,1.018,"Business, Management and Accounting",Social Sciences
Journal of Corporate Finance,0929-1199,Business & Management,107,107,319.0,217.5,407.5,332.30841121495325,4.0,330.0,scrape_elsevier,Elsevier B.V.,623,3.246,"Business, Management and Accounting",Social Sciences
Management International Review,0938-8249,Business & Management,100,98,316.5,236.25,400.0,320.6326530612245,48.0,373.5,crossref_assertion,Springer Fachmedien Wiesbaden GmbH,3639,1.184,"Business, Management and Accounting",Social Sciences
Industrial Relations,0019-8676,Business & Management,100,99,315.0,232.0,387.0,311.2828282828283,21.0,350.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,5433,0.931,"Business, Management and Accounting",Social Sciences
Journal of Policy Analysis and Management,0276-8739,Business & Management,30,30,305.0,35.75,464.75,295.8666666666667,38.0,370.0,crossref_assertion,Wiley-Liss Inc.,1028,2.398,"Business, Management and Accounting",Social Sciences
International Public Management Journal,1559-3169,Business & Management,100,95,304.0,217.0,375.5,305.6842105263158,34.0,349.0,crossref_assertion,Taylor and Francis Ltd.,3693,1.174,"Business, Management and Accounting",Social Sciences
Africa Journal of Management,2332-2373,Business & Management,100,99,303.0,105.0,417.5,293.050505050505,81.0,408.5,crossref_assertion,Taylor and Francis Ltd.,14769,0.364,"Business, Management and Accounting",Social Sciences
Journal of Strategic Marketing,0965-254X,Business & Management,100,98,302.5,195.25,385.5,317.85714285714283,9.0,315.0,crossref_assertion,Routledge,3677,1.176,"Business, Management and Accounting",Social Sciences
Journal of Business Economics,0044-2372,Business & Management,21,21,302.0,265.0,367.0,345.1904761904762,44.0,372.0,crossref_assertion,Springer International Publishing AG,8582,0.667,"Business, Management and Accounting",Social Sciences
Global Business and Organizational Excellence,1932-2054,Business & Management,100,100,290.5,181.25,477.0,343.97,13.0,306.0,crossref_assertion,John Wiley and Sons Inc,2590,1.432,"Business, Management and Accounting",Social Sciences
Contemporary Economic Policy,1465-7287,Business & Management,101,101,288.0,198.0,377.0,292.7821782178218,40.0,332.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,9692,0.599,"Business, Management and Accounting",Social Sciences
Journal of Sport and Tourism,1477-5085,Business & Management,101,101,287.0,196.0,354.0,289.9207920792079,13.0,309.0,crossref_assertion,Routledge,9468,0.613,"Business, Management and Accounting",Social Sciences
Review of Managerial Science,1863-6683,Business & Management,100,100,286.0,220.0,378.5,319.31,26.0,317.0,crossref_assertion,Springer Verlag,1094,2.316,"Business, Management and Accounting",Social Sciences
"Intelligent Systems in Accounting, Finance and Management",1550-1949,Business & Management,105,105,285.0,197.0,459.0,339.8857142857143,30.0,323.0,crossref_assertion,John Wiley and Sons Inc,8498,0.673,"Business, Management and Accounting",Social Sciences
Journal of Global Sport Management,2470-4067,Business & Management,100,99,285.0,221.0,355.5,280.17171717171715,45.0,335.0,crossref_assertion,Routledge,8367,0.682,"Business, Management and Accounting",Social Sciences
Journal of Advertising,1557-7805,Business & Management,100,100,284.5,214.75,367.75,308.79,37.0,338.5,crossref_assertion,M.E. Sharpe Inc.,352,4.455,"Business, Management and Accounting",Social Sciences
Journal of Small Business and Entrepreneurship,0827-6331,Business & Management,100,98,284.5,144.75,417.25,309.31632653061223,19.0,305.0,crossref_assertion,Taylor and Francis Ltd.,4024,1.117,"Business, Management and Accounting",Social Sciences
Management Review Quarterly,2198-1639,Business & Management,100,100,284.0,208.5,387.5,301.86,30.0,316.0,crossref_assertion,Springer Nature,1695,1.83,"Business, Management and Accounting",Social Sciences
Journal of Real Estate Research,0896-5803,Business & Management,103,103,278.0,200.5,384.5,304.54368932038835,56.5,375.0,crossref_assertion,Taylor and Francis Ltd.,12710,0.447,"Business, Management and Accounting",Social Sciences
ACM Transactions on Information Systems,1046-8188,Business & Management,100,100,276.5,210.25,376.75,295.48,63.5,341.0,crossref_assertion,Association for Computing Machinery (ACM),2275,1.54,"Business, Management and Accounting",Social Sciences
Publishing Research Quarterly,1936-4792,Business & Management,5,5,276.0,243.0,331.0,319.6,17.0,287.0,crossref_assertion,Springer US,10341,0.563,"Business, Management and Accounting",Social Sciences
Applied Stochastic Models in Business and Industry,1526-4025,Business & Management,103,103,275.0,210.5,335.5,279.50485436893206,19.0,305.0,crossref_assertion,John Wiley and Sons Ltd,13142,0.428,"Business, Management and Accounting",Social Sciences
International Journal of Production Economics,0925-5273,Business & Management,104,104,269.0,204.75,359.25,286.2692307692308,3.0,271.5,scrape_elsevier,Elsevier B.V.,798,2.833,"Business, Management and Accounting",Social Sciences
Journal of Evolutionary Economics,0936-9937,Business & Management,38,38,267.5,180.0,389.25,289.2631578947368,58.5,365.5,crossref_assertion,Springer New York,8785,0.654,"Business, Management and Accounting",Social Sciences
Asia Europe Journal,1610-2932,Business & Management,103,100,267.0,151.5,480.75,349.59,17.0,301.0,crossref_assertion,Springer Verlag,12798,0.442,"Business, Management and Accounting",Social Sciences
Optimization Letters,1862-4472,Business & Management,102,101,267.0,195.0,355.0,298.5049504950495,28.0,297.5,crossref_assertion,Springer Verlag,8690,0.66,"Business, Management and Accounting",Social Sciences
Human Resource Development International,1367-8868,Business & Management,100,100,261.0,171.0,323.5,272.41,17.0,278.5,crossref_assertion,Taylor and Francis Ltd.,4350,1.066,"Business, Management and Accounting",Social Sciences
Journal of the Operational Research Society,0160-5682,Business & Management,100,99,261.0,180.0,409.0,308.26262626262627,17.0,275.5,crossref_assertion,Taylor and Francis Ltd.,5540,0.917,"Business, Management and Accounting",Social Sciences
International Transactions in Operational Research,0969-6016,Business & Management,100,100,259.0,224.5,336.75,279.45,18.5,281.5,crossref_assertion,John Wiley and Sons Inc,4877,0.993,"Business, Management and Accounting",Social Sciences
Journal of Marketing Management,0267-257X,Business & Management,100,100,259.0,213.75,373.0,299.21,38.5,311.5,crossref_assertion,Taylor and Francis Ltd.,3489,1.214,"Business, Management and Accounting",Social Sciences
International Journal of the Economics of Business,1466-1829,Business & Management,60,60,253.0,179.25,444.0,331.9166666666667,15.5,280.5,crossref_assertion,Routledge,12245,0.468,"Business, Management and Accounting",Social Sciences
OPSEARCH,0030-3887,Business & Management,100,99,251.0,165.5,464.0,339.020202020202,29.5,291.0,crossref_assertion,Springer India,13582,0.409,"Business, Management and Accounting",Social Sciences
Electronic Markets,1422-8890,Business & Management,100,100,249.5,190.5,374.75,276.13,41.5,304.5,crossref_assertion,Springer Verlag,1087,2.325,"Business, Management and Accounting",Social Sciences
Managerial and Decision Economics,1099-1468,Business & Management,100,100,246.0,166.5,337.0,255.17,15.0,258.0,crossref_assertion,John Wiley and Sons Ltd,9400,0.617,"Business, Management and Accounting",Social Sciences
Sports Coaching Review,2164-0637,Business & Management,100,100,244.0,171.25,315.25,259.57,12.0,265.0,crossref_assertion,Taylor and Francis Ltd.,3596,1.191,"Business, Management and Accounting",Social Sciences
Strategic Change,1086-1718,Business & Management,100,100,231.0,124.75,332.25,239.69,14.5,256.0,crossref_assertion,John Wiley and Sons Inc,3290,1.253,"Business, Management and Accounting",Social Sciences
International Journal of Logistics Research and Applications,1367-5567,Business & Management,100,100,230.5,135.5,301.5,236.11,13.0,247.5,crossref_assertion,Taylor and Francis Ltd.,2530,1.452,"Business, Management and Accounting",Social Sciences
International Entrepreneurship and Management Journal,1554-7191,Business & Management,1,1,229.0,229.0,229.0,229.0,42.0,271.0,crossref_assertion,Springer New York,2878,1.352,"Business, Management and Accounting",Social Sciences
Journal of Economic Issues,0021-3624,Business & Management,71,70,228.5,116.25,392.5,264.9714285714286,264.5,807.5,crossref_assertion,Taylor and Francis Ltd.,14567,0.371,"Business, Management and Accounting",Social Sciences
Annals of Data Science,2198-5812,Business & Management,101,101,228.0,112.0,358.0,245.13861386138615,24.0,270.0,crossref_assertion,Springer Science and Business Media Deutschland GmbH,6406,0.832,"Business, Management and Accounting",Social Sciences
Journal of Psychology,1940-1019,Business & Management,100,100,228.0,149.75,368.5,266.56,19.0,242.0,crossref_assertion,Routledge,5452,0.929,"Business, Management and Accounting",Social Sciences
Journal of Common Market Studies,1468-5965,Business & Management,100,100,225.5,151.25,346.25,229.88,38.0,270.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,2064,1.635,"Business, Management and Accounting",Social Sciences
Computational Management Science,1619-697X,Business & Management,101,101,220.0,158.0,311.0,239.75247524752476,26.0,246.0,crossref_assertion,Springer,11916,0.483,"Business, Management and Accounting",Social Sciences
Journal of Personal Selling and Sales Management,1557-7813,Business & Management,100,98,218.0,137.25,316.75,229.69387755102042,38.5,259.0,crossref_assertion,Taylor and Francis Ltd.,2190,1.575,"Business, Management and Accounting",Social Sciences
Clean Technologies and Environmental Policy,1618-954X,Business & Management,103,103,216.0,128.0,363.5,257.1456310679612,49.0,283.0,crossref_assertion,Springer Science and Business Media Deutschland GmbH,5994,0.87,"Business, Management and Accounting",Social Sciences
Journal of Economics/ Zeitschrift fur Nationalokonomie,1617-7134,Business & Management,102,101,215.0,133.0,357.0,263.6039603960396,27.0,254.0,crossref_assertion,Springer-Verlag Wien,11017,0.528,"Business, Management and Accounting",Social Sciences
Managing Sport and Leisure,2375-0480,Business & Management,101,101,215.0,147.0,322.0,247.30693069306932,12.0,235.0,crossref_assertion,Taylor and Francis Ltd.,9744,0.596,"Business, Management and Accounting",Social Sciences
Transportation Research Part E: Logistics and Transportation Review,1366-5545,Business & Management,27,27,214.0,180.0,256.0,236.74074074074073,10.0,227.0,scrape_elsevier,Elsevier Ltd,946,2.513,"Business, Management and Accounting",Social Sciences
Total Quality Management and Business Excellence,1478-3363,Business & Management,100,96,211.5,160.0,309.0,258.4583333333333,12.0,237.5,crossref_assertion,Routledge,5126,0.966,"Business, Management and Accounting",Social Sciences
Journal of Health Organization and Management,1477-7266,Business & Management,100,100,205.0,133.0,312.5,236.18,,,pubmed,Emerald Publishing,8878,0.648,"Business, Management and Accounting",Social Sciences
Asia Pacific Journal of Human Resources,1038-4111,Business & Management,100,100,202.0,102.75,346.75,237.33,21.5,234.0,crossref_assertion,Wiley-Blackwell,2756,1.383,"Business, Management and Accounting",Social Sciences
International Journal of Spa and Wellness,2472-1743,Business & Management,101,101,200.0,148.0,256.0,204.4851485148515,18.0,214.0,crossref_assertion,Routledge,14328,0.379,"Business, Management and Accounting",Social Sciences
Innovation and Green Development,2949-7531,Business & Management,90,90,199.5,139.25,332.75,241.1,27.5,233.5,scrape_elsevier,Elsevier B.V.,806,2.817,"Business, Management and Accounting",Social Sciences
Journal of Business Economics and Management,2029-4433,Business & Management,101,101,197.0,155.0,227.0,201.6039603960396,83.0,273.0,crossref_assertion,Vilnius Gediminas Technical University,9813,0.592,"Business, Management and Accounting",Social Sciences
Journal of Consumer Policy,0168-7034,Business & Management,100,100,195.0,116.75,269.25,193.46,31.0,229.0,crossref_assertion,Springer New York,9712,0.598,"Business, Management and Accounting",Social Sciences
Humanistic Management Journal,2366-6048,Business & Management,105,105,192.0,114.0,285.0,214.38095238095238,22.0,216.0,crossref_assertion,Springer International Publishing AG,13336,0.42,"Business, Management and Accounting",Social Sciences
Journal of Organization Design,2245-408X,Business & Management,101,101,190.0,70.0,324.0,219.62376237623764,17.0,233.0,crossref_assertion,SpringerOpen,14104,0.388,"Business, Management and Accounting",Social Sciences
International Journal of Health Care Quality Assurance,0952-6862,Business & Management,47,47,189.0,94.5,284.0,222.87234042553192,,,pubmed,Emerald Publishing,15016,0.355,"Business, Management and Accounting",Social Sciences
Journal of Innovation and Knowledge,2444-569X,Business & Management,116,116,188.0,144.75,241.25,190.18965517241378,8.0,197.0,scrape_elsevier,Elsevier B.V.,599,3.341,"Business, Management and Accounting",Social Sciences
Journal of Marketing Communications,1466-4445,Business & Management,100,100,183.0,135.75,257.25,217.56,9.0,196.0,crossref_assertion,Routledge,4840,0.999,"Business, Management and Accounting",Social Sciences
Technology in Society,0160-791X,Business & Management,105,105,178.0,145.0,271.0,224.52380952380952,1.0,183.0,scrape_elsevier,Elsevier Ltd,920,2.559,"Business, Management and Accounting",Social Sciences
International Journal of Workplace Health Management,1753-8351,Business & Management,4,4,177.5,161.5,208.0,192.0,,72.0,pubmed,Emerald Publishing,7019,0.78,"Business, Management and Accounting",Social Sciences
Service Business,1862-8508,Business & Management,100,100,174.5,110.75,243.0,181.03,18.0,197.5,crossref_assertion,Springer Verlag,4177,1.093,"Business, Management and Accounting",Social Sciences
Service Industries Journal,1743-9507,Business & Management,100,100,171.5,119.75,252.0,202.01,14.5,189.5,crossref_assertion,Taylor and Francis Ltd.,1394,2.033,"Business, Management and Accounting",Social Sciences
International Journal of Strategic Property Management,1648-715X,Business & Management,102,102,166.5,116.25,218.25,174.36274509803923,37.5,203.5,crossref_assertion,Vilnius Gediminas Technical University,15396,0.341,"Business, Management and Accounting",Social Sciences
Journal of Contingencies and Crisis Management,1468-5973,Business & Management,104,104,165.0,121.0,244.5,197.15384615384616,9.0,179.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,8721,0.658,"Business, Management and Accounting",Social Sciences
Business Strategy and the Environment,1099-0836,Business & Management,100,100,164.0,117.0,252.75,195.82,25.0,197.0,crossref_assertion,John Wiley and Sons Ltd,511,3.609,"Business, Management and Accounting",Social Sciences
Risk Management,1743-4637,Business & Management,19,19,164.0,126.5,440.0,299.89473684210526,30.0,207.0,crossref_assertion,Palgrave Macmillan Ltd.,15275,0.346,"Business, Management and Accounting",Social Sciences
Journal of Convention and Event Tourism,1547-0148,Business & Management,104,104,161.0,93.25,228.5,172.44230769230768,14.0,190.5,crossref_assertion,Routledge,11016,0.528,"Business, Management and Accounting",Social Sciences
British Food Journal,0007-070X,Business & Management,11,11,153.0,108.5,164.0,134.8181818181818,90.0,76.0,pubmed,Emerald Publishing,6576,0.817,Agricultural and Biological Sciences,Life Sciences
Global Journal of Flexible Systems Management,0972-2696,Business & Management,100,100,152.0,97.75,212.25,168.84,29.0,186.0,crossref_assertion,Global Institute of Flexible Systems Management,3844,1.148,"Business, Management and Accounting",Social Sciences
International Journal of Health Geographics,1476-072X,Business & Management,101,101,147.0,105.0,191.0,156.63366336633663,13.0,173.0,"crossref_assertion, pubmed",BioMed Central Ltd,5233,0.953,"Business, Management and Accounting",Social Sciences
Asia Pacific Business Review,1743-792X,Business & Management,102,102,142.0,83.0,200.5,148.9607843137255,17.0,167.5,crossref_assertion,Routledge,10429,0.558,"Business, Management and Accounting",Social Sciences
Service Oriented Computing and Applications,1863-2386,Business & Management,103,103,142.0,80.5,220.0,161.80582524271844,28.0,176.0,crossref_assertion,Springer London,14846,0.361,"Business, Management and Accounting",Social Sciences
Systemic Practice and Action Research,1094-429X,Business & Management,41,41,140.0,99.0,204.0,167.5121951219512,18.0,165.0,crossref_assertion,Springer New York,13459,0.415,"Business, Management and Accounting",Social Sciences
Leadership in Health Services,1751-1879,Business & Management,26,26,137.5,109.25,176.75,155.8846153846154,,,pubmed,Emerald Publishing,9878,0.588,"Business, Management and Accounting",Social Sciences
Futures and Foresight Science,2573-5152,Business & Management,101,101,126.0,49.0,198.0,158.79207920792078,17.0,142.0,crossref_assertion,John Wiley and Sons Inc,7071,0.776,"Business, Management and Accounting",Social Sciences
Industrial Relations Journal,1468-2338,Business & Management,100,100,126.0,21.0,242.0,158.84,16.0,140.0,crossref_assertion,John Wiley &amp; Sons Inc.,5519,0.92,"Business, Management and Accounting",Social Sciences
Quality Management Journal,1068-6967,Business & Management,102,102,113.5,75.0,160.0,132.04901960784315,86.0,213.5,crossref_assertion,Taylor and Francis Ltd.,11616,0.499,"Business, Management and Accounting",Social Sciences
"Journal of Data, Information and Management",2524-6356,Business & Management,103,103,94.0,61.0,144.0,119.7864077669903,21.0,123.0,crossref_assertion,Springer International Publishing,13356,0.419,"Business, Management and Accounting",Social Sciences
British Journal of Industrial Relations,1467-8543,Business & Management,100,99,25.0,4.0,326.0,167.95959595959596,13.0,35.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,2791,1.375,"Business, Management and Accounting",Social Sciences
Frontiers of Health Services Management,2475-2797,Business & Management,6,6,0.0,0.0,0.0,0.0,,,pubmed,Lippincott Williams and Wilkins Ltd.,21580,0.194,"Business, Management and Accounting",Social Sciences
Cardiology Discovery,2693-8499,Cardiovascular Medicine,9,9,277.0,187.0,300.0,261.0,,,pubmed,Wolters Kluwer Health,19261,0.236,Medicine,Health Sciences
Circulation: Genomic and Precision Medicine,2574-8300,Cardiovascular Medicine,100,100,225.0,167.25,284.25,239.78,62.0,288.5,crossref_assertion,Lippincott Williams and Wilkins,1555,1.924,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Circulation Research,0009-7330,Cardiovascular Medicine,30,30,217.5,158.75,258.0,215.0,39.0,265.5,crossref_assertion,Lippincott Williams and Wilkins,301,4.897,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Cardiovascular and Thoracic Research,2008-6830,Cardiovascular Medicine,103,103,213.0,147.0,298.0,228.50485436893203,50.0,170.0,"crossref_assertion, pubmed",Tabriz University of Medical Sciences,15249,0.347,Medicine,Health Sciences
Cardiology Journal,1897-5593,Cardiovascular Medicine,100,100,210.0,129.75,300.5,235.83,98.5,165.5,pubmed,Via Medica,9458,0.613,Medicine,Health Sciences
Netherlands Heart Journal,1876-6250,Cardiovascular Medicine,41,41,202.0,127.0,253.0,197.21951219512195,,,pubmed,Bohn Stafleu van Loghum,7559,0.739,Medicine,Health Sciences
Circulation: Cardiovascular Quality and Outcomes,1941-7705,Cardiovascular Medicine,100,100,199.5,164.0,241.75,197.31,67.0,266.5,crossref_assertion,Lippincott Williams and Wilkins Ltd.,1041,2.38,Medicine,Health Sciences
Cardiology Research and Practice,2090-0597,Cardiovascular Medicine,101,101,190.0,106.0,310.0,208.65346534653466,13.0,157.5,"crossref_assertion, pubmed",John Wiley and Sons Ltd,12935,0.437,Medicine,Health Sciences
European Heart Journal,1522-9645,Cardiovascular Medicine,62,62,188.0,127.5,247.25,197.3548387096774,,,pubmed,Oxford University Press,295,4.987,Medicine,Health Sciences
Circulation: Arrhythmia and Electrophysiology,1941-3084,Cardiovascular Medicine,100,100,187.0,147.75,242.5,203.58,37.0,220.5,crossref_assertion,Lippincott Williams and Wilkins,563,3.416,Medicine,Health Sciences
Cardiovascular Therapeutics,1755-5914,Cardiovascular Medicine,110,110,184.5,143.75,243.25,200.94545454545454,29.0,183.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,6423,0.831,Medicine,Health Sciences
JMIR Cardio,2561-1011,Cardiovascular Medicine,100,100,182.5,123.5,249.0,203.42,,,pubmed,JMIR Publications Inc.,6871,0.792,Medicine,Health Sciences
Journal of Molecular and Cellular Cardiology,0022-2828,Cardiovascular Medicine,100,100,178.0,117.75,218.5,179.89,,,pubmed,Academic Press,1768,1.779,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Circulation: Heart Failure,1941-3297,Cardiovascular Medicine,100,100,174.0,114.25,224.75,176.38,75.0,257.0,crossref_assertion,Lippincott Williams and Wilkins,695,3.037,Medicine,Health Sciences
Circulation: Cardiovascular Imaging,1942-0080,Cardiovascular Medicine,100,100,166.0,124.75,203.75,169.2,57.0,224.5,crossref_assertion,Lippincott Williams and Wilkins Ltd.,1935,1.69,Medicine,Health Sciences
Cardiovascular Research,1755-3245,Cardiovascular Medicine,100,100,161.0,97.5,246.25,181.29,,,pubmed,Oxford University Press,433,3.947,"Biochemistry, Genetics and Molecular Biology",Life Sciences
ARYA Atherosclerosis,2251-6638,Cardiovascular Medicine,100,95,159.0,84.5,292.0,204.1157894736842,102.5,190.5,pubmed,Isfahan Cardiovascular Research Center,19410,0.233,Medicine,Health Sciences
Egyptian Heart Journal,2090-911X,Cardiovascular Medicine,101,101,157.0,85.0,236.0,172.85148514851485,18.0,61.0,"crossref_assertion, pubmed",Springer Science and Business Media Deutschland GmbH,13156,0.428,Medicine,Health Sciences
Journal of the American Heart Association,2047-9980,Cardiovascular Medicine,100,100,153.0,112.25,211.25,163.26,45.0,197.5,crossref_assertion,American Heart Association Inc.,1213,2.189,Medicine,Health Sciences
Kidney and Blood Pressure Research,1423-0143,Cardiovascular Medicine,100,100,152.0,123.25,212.5,174.57,40.0,137.0,pubmed,S. Karger AG,7711,0.728,Medicine,Health Sciences
Journal of Cardiovascular Magnetic Resonance,1532-429X,Cardiovascular Medicine,100,100,149.5,89.25,195.5,149.55,,101.5,pubmed,Elsevier B.V.,1848,1.728,Health Professions,Health Sciences
Scandinavian Cardiovascular Journal,1651-2006,Cardiovascular Medicine,101,100,148.5,101.0,200.25,156.44,13.0,160.0,crossref_assertion,Informa Healthcare,12597,0.452,Medicine,Health Sciences
Circulation,0009-7322,Cardiovascular Medicine,97,97,145.0,84.0,218.0,156.91752577319588,76.0,226.0,crossref_assertion,Lippincott Williams and Wilkins,107,8.668,Medicine,Health Sciences
European Heart Journal - Case Reports,2514-2119,Cardiovascular Medicine,100,99,142.0,114.5,190.5,156.42424242424244,,,pubmed,Oxford University Press,16676,0.299,Medicine,Health Sciences
Journal of Cardiology Cases,1878-5409,Cardiovascular Medicine,100,100,142.0,108.25,179.25,158.68,,,pubmed,Elsevier Ltd,20253,0.217,Medicine,Health Sciences
US Cardiology Review,1758-3896,Cardiovascular Medicine,100,99,142.0,86.0,190.0,146.3838383838384,72.0,145.0,pubmed,Radcliffe Cardiology,19704,0.227,Medicine,Health Sciences
