field,field_category,journal_name,issn,issn_alt,publisher,sjr_rank,sjr_score,areas
Artificial Intelligence,Artificial Intelligence,"Annual Review of Control, Robotics, and Autonomous Systems",2573-5144,,Annual Reviews Inc.,496,3.69,Computer Science; Engineering
Artificial Intelligence,Artificial Intelligence,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,2162-2388,IEEE Computational Intelligence Society,498,3.686,Computer Science
Artificial Intelligence,Artificial Intelligence,AI Open,2666-6510,,KeAi Communications Co.,631,3.212,Computer Science
Artificial Intelligence,Artificial Intelligence,Computational Visual Media,2096-0662,2096-0433,Institute of Electrical and Electronics Engineers Inc.,649,3.166,Computer Science
Artificial Intelligence,Artificial Intelligence,International Journal of Computer Vision,0920-5691,1573-1405,Springer Netherlands,663,3.136,Computer Science
Artificial Intelligence,Artificial Intelligence,Radiology: Artificial Intelligence,2638-6100,,Radiological Society of North America Inc.,664,3.128,Computer Science; Health Professions; Medicine
Artificial Intelligence,Artificial Intelligence,Artificial Intelligence Review,0269-2821,1573-7462,Springer Netherlands,710,3.01,Computer Science; Social Sciences
Artificial Intelligence,Artificial Intelligence,IEEE Transactions on Intelligent Vehicles,2379-8858,,Institute of Electrical and Electronics Engineers Inc.,803,2.821,Computer Science; Engineering; Mathematics
Arts & Humanities,Arts and Humanities (miscellaneous),Administrative Science Quarterly,0001-8392,1930-3815,Johnson School at Cornell University,80,10.393,Arts and Humanities; Social Sciences
Arts & Humanities,Arts and Humanities (miscellaneous),Human Relations,0018-7267,1741-282X,SAGE Publications Ltd,390,4.148,"Arts and Humanities; Business, Management and Accounting; Social Sciences"
Arts & Humanities,Arts and Humanities (miscellaneous),Journal of Business Ethics,1573-0697,0167-4544,Springer Netherlands,693,3.039,"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Arts & Humanities,Arts and Humanities (miscellaneous),Computers in Human Behavior,0747-5632,,Elsevier Ltd,749,2.923,Arts and Humanities; Computer Science; Psychology
